version,wl,a0,T_coeff,S_coeff,a0_err,T_err,S_err,a0_raw,S_coeff_raw
1,300,0.0541434648489137,0,0,0.002144,7.6e-05,0.000231,0.053592,0
1,302,0.0512289280578984,0,0,0.002008,5.3e-05,0.000212,0.0502,0
1,304,0.0484612856514325,0,0,0.002004,2.8e-05,0.000243,0.0501,0
1,306,0.0458878278058695,0,0,0.001868,4.2e-05,0.000229,0.0467,0
1,308,0.0435077634376934,0,0,0.001768,2.9e-05,0.000199,0.0442,0
1,310,0.0413311178286756,0,0,0.00166,3.9e-05,0.00025,0.0415,0
1,312,0.0392836429297038,0,0,0.001552,3e-05,0.000285,0.0388,0
1,314,0.0374439439022655,0,0,0.001436,3.4e-05,0.000221,0.0359,0
1,316,0.0361858522103493,0,0,0.00142,2.9e-05,0.000205,0.0355,0
1,318,0.0350811031867002,0,0,0.001416,4e-05,0.000174,0.0354,0
1,320,0.0341626055460682,0,0,0.001392,3.5e-05,0.000243,0.0348,0
1,322,0.0332329218710612,0,0,0.00134,3.9e-05,0.000123,0.0335,0
1,324,0.0317493466802382,0,0,0.0013,4.2e-05,0.000224,0.0325,0
1,326,0.0300950627035643,0,0,0.001248,2.9e-05,0.000183,0.0312,0
1,328,0.028374847519965,0,0,0.001128,3.5e-05,0.000212,0.0282,0
1,330,0.026351116612611,0,0,0.001024,2.7e-05,0.000174,0.0256,0
1,332,0.0243205464002636,0,0,0.000964,3e-05,0.000155,0.0241,0
1,334,0.0224812295068228,0,0,0.000892,3.3e-05,0.000141,0.0223,0
1,336,0.0207629375553203,0,0,0.000832,3.4e-05,0.000174,0.0208,0
1,338,0.0193589669959472,0,0,0.000784,2.6e-05,0.000176,0.0196,0
1,340,0.0181337979300148,0,0,0.000724,2.3e-05,0.000148,0.0181,0
1,342,0.0170978933152122,0,0,0.00068,1.6e-05,0.000128,0.017,0
1,344,0.0162815551441931,0,0,0.000644,3.6e-05,0.000223,0.0161,0
1,346,0.0156310696634133,0,0,0.00062,3.8e-05,0.000108,0.0155,0
1,348,0.0152013270801557,0,0,0.000604,3.3e-05,0.000195,0.0151,0
1,350,0.0148997423433866,0,0,6e-04,3.3e-05,0.000184,0.015,0
1,352,0.0146589691496221,0,0,0.000592,2.5e-05,0.000148,0.0148,0
1,354,0.0145482234035665,0,0,0.000588,2.2e-05,0.000148,0.0147,0
1,356,0.0144355748684203,0,0,0.00058,3.2e-05,0.000128,0.0145,0
1,358,0.014314355907815,0,0,0.000572,3e-05,0.000243,0.0143,0
1,360,0.0142133335070448,0,0,0.000564,2.7e-05,0.000118,0.0141,0
1,362,0.014136705239689,0,0,0.000564,3.6e-05,0.000155,0.0141,0
1,364,0.0140613714672024,0,0,0.00056,2.2e-05,0.000189,0.014,0
1,366,0.0140201235923717,0,0,0.00056,1.9e-05,0.000101,0.014,0
1,368,0.0139455040319633,0,0,0.00056,3.1e-05,0.00017,0.014,0
1,370,0.0137883511537984,0,0,0.000552,2.8e-05,0.000113,0.0138,0
1,372,0.0135608757883989,0,0,0.00054,4.8e-05,0.000183,0.0135,0
1,374,0.013167855810589,0,0,0.000544,1.6e-05,0.000131,0.0136,0
1,376,0.0127002114859219,0,0,0.000508,2.3e-05,0.000141,0.0127,0
1,378,0.0121107973571189,0,0,0.000484,4.6e-05,0.000102,0.0121,0
1,380,0.0114779136699093,0,0,9.2e-05,2e-05,0.000126,0.011435,2.6e-05
1,382,0.0108589252233829,0,0,3.5e-05,2.1e-05,0.000126,0.010725,1.7e-05
1,384,0.0101961607211514,0,0,0.000265,2.1e-05,0.00014,0.010113,-2e-06
1,386,0.00960640925313365,0,0,0.000368,2.2e-05,0.000141,0.00959,-1.4e-05
1,388,0.00913587264419984,0,0,2.8e-05,2.5e-05,0.000102,0.00915,1.3e-05
1,390,0.00870218216477824,0,0,2.1e-05,3.2e-05,7.9e-05,0.008525,1.7e-05
1,392,0.00831834955817619,0,4.67363629359811e-07,4.5e-05,1.3e-05,6.9e-05,0.008332,3e-06
1,394,0.00795308880981952,0,-1.05879118406788e-21,0.000318,1.6e-05,6.4e-05,0.007985,-2e-06
1,396,0.00755406660780969,0,-2.97639623896238e-06,0.000561,9e-06,5e-05,0.007607,-6e-06
1,398,0.00716269137705129,0,-6.21773759232959e-06,0.000424,2.7e-05,4.3e-05,0.00745,-1.1e-05
1,400,0.00677706234418262,0,-8.53759852737629e-06,0.000198,4.2e-05,4.4e-05,0.00677,-8e-06
1,402,0.00635534678004131,0,-1.04370171185064e-05,0.00024,1.2e-05,4.4e-05,0.00624,-3e-06
1,404,0.00595066594158737,0,-1.20768771755807e-05,0.000484,2.2e-05,4.2e-05,0.005888,-5e-06
1,406,0.00558032495299097,0,-1.36614585517947e-05,0.00053,1.7e-05,3.9e-05,0.005585,-1.4e-05
